🕘️更新时间,#genre#
2025-10-24 18:24:06,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33

📺央视频道,#genre#
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-2,http://goo.bkpcp.top/mg/CCTV2
CCTV-3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV-3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV-4,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428
CCTV-4,http://z.b.bkpcp.top/m.php?id=CCTV-4国际
CCTV-5,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV-5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV-5+,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603
CCTV-5+,https://www.freetv.top/migu/641886773.m3u8?migutoken=03a1b82e35e58cd89a95034ecb29e77e50493397000ec2b1e4d1ce59af01e6420d6dbc068c8230ec03be3a35a20eed8714e0959e3570a08713a7a2e8d86085eabf8f1aa85744c80c38343988b2
CCTV-6,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010
CCTV-6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV-7,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733
CCTV-7,http://goo.bkpcp.top/mg/CCTV7
CCTV-8,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734
CCTV-9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV-10,http://z.b.bkpcp.top/m.php?id=CCTV-10科教科教
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565
CCTV-11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV-12,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225731
CCTV-12,http://z.b.bkpcp.top/m.php?id=CCTV-12社会与法社会与法
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135
CCTV-14,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225732
CCTV-15,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225641/index.m3u8
CCTV-15,https://www.freetv.top/migu/673168223.m3u8?migutoken=4e8d5766579c6bef231494cabd07e5b49d965804790214280c9791e4c331fd90311cb62ea43d3a1899229bfa57be4afe5a567b32a6b78153fc9a9801e28a39435e078b48c211e71d6083519be4
CCTV-16,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226100
CCTV-16,http://livetv.wqwqwq.sbs/gaoma/cctv4k16.m3u8
CCTV-17,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225765
CCTV-17,http://[2409:8087:1a01:df::4025]:80/TVOD/88888888/224/3221225708/main.m3u8
CETV-1,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8
CETV-2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
